Symbol,Name,DowComposite,Nasdaq100,Russell1000,Russell2000,S&P100,S&P500,S&P400,S&P600,WatchList,Sector,Full_Time_Employees,Industry,Previous_Close,Days_Range,Market_Cap,Earnings_Date,_52_Week_Range,Volume,PE_Ratio_TTM,Beta,_1y_Target_Est,EPS_TTM,Forward_Dividend_and_Yield,Ex_Dividend_Date,Open,Avg_Volume
AAWW,Atlas Air Ww,0,0,0,1,0,0,0,1,0,Services,"2,646","Air Services, Other",61.35,60.90 - 62.25,1.569B,"Feb 21, 2018",45.45 - 68.70,"518,912",36.80,2.04,73.44,1.69,N/A (N/A),,61.55,"265,142"
AAXN,Axon Inc,0,0,0,1,0,0,0,1,0,,,,26.90,26.87 - 27.75,1.458B,,20.57 - 28.17,"572,787",106.41,1.18,30.17,0.26,N/A (N/A),,26.99,"719,131"
ABAX,Abaxis Inc,0,0,0,1,0,0,0,1,0,Healthcare,584,Medical Laboratories & Research,62.28,61.66 - 62.91,1.417B,"Jan 24, 2018",43.66 - 62.98,"235,965",52.47,1.3,51.38,1.19,0.64 (1.04%),2017-11-30,62.29,"138,900"
ABBV,Abbvie Inc,0,0,1,0,1,1,0,0,0,Healthcare,"29,000",Drug Manufacturers - Major,99.27,98.66 - 100.64,160.186B,"Jan 25, 2018",59.27 - 101.28,"4,372,638",24.37,1.39,101.30,4.12,2.84 (2.85%),2018-01-11,99.34,"5,175,433"
ABC,Amerisourcebergen Corp,0,0,1,0,0,1,0,0,0,Services,"19,000",Drugs Wholesale,98.14,97.55 - 99.00,21.59B,"Jan 29, 2018",71.90 - 99.00,"1,469,349",60.37,0.95,98.29,1.64,1.52 (1.56%),2017-11-17,98.50,"1,950,788"
ABCB,Ameris Bancorp,0,0,0,1,0,0,0,1,0,Financial,"1,298",Regional - Mid-Atlantic Banks,52.55,52.55 - 53.45,1.988B,"Jan 26, 2018",41.05 - 53.45,"183,215",23.61,1.27,56.83,2.26,0.40 (0.78%),2017-12-28,52.70,"215,952"
ABCD,Cambium Learning Grp,0,0,0,1,0,0,0,0,0,Services,565,Education & Training Services,6.32,6.31 - 6.79,310.822M,"Nov 8, 2017",4.55 - 7.30,"215,435",18.00,-0.76,2.00,0.37,N/A (N/A),,6.31,"69,817"
ABCO,Advisory Board Co,0,0,0,1,0,0,0,0,0,Services,"3,800",Business Services,53.775,53.750 - 53.850,2.194B,"Nov 8, 2017",1.160 - 59.500,"895,134",20.44,1.32,54.14,2.633,N/A (N/A),,53.750,"507,218"
ABEO,Abeona Therapeutics,0,0,0,1,0,0,0,0,0,,,,15.85,15.45 - 15.95,734.372M,"May 18, 2017",4.50 - 22.75,"364,112",,2.53,29.09,-0.65,N/A (N/A),,15.90,"927,807"
ABG,Asbury Automotive Group Inc,0,0,0,1,0,0,0,1,0,Services,"7,900",Auto Dealerships,74.65,74.50 - 76.15,1.568B,"Feb 7, 2018",49.10 - 76.15,"227,509",9.74,1.3,65.67,7.73,0.00 (0.00%),2008-07-30,74.70,"255,631"
ABM,ABM Industries Incorporated,0,0,0,1,0,0,0,1,0,Services,"140,000",Business Services,38.96,38.70 - 39.16,2.547B,"Mar 5, 2018",36.61 - 45.12,"390,386",588.94,0.46,47.00,0.07,0.68 (1.75%),2018-01-03,38.96,"409,290"
ABMD,Abiomed Inc,0,0,1,0,0,0,1,0,0,Healthcare,908,Medical Appliances & Equipment,210.15,210.36 - 216.00,9.511B,"Jan 24, 2018",103.53 - 216.00,"283,376",105.14,-0.59,199.89,2.05,N/A (N/A),,210.72,"323,644"
ABT,Abbott Laboratories,0,0,1,0,1,1,0,0,0,Healthcare,"75,000",Medical Appliances & Equipment,,58.79 - 59.24,,"Jan 24, 2018",39.25 - 59.60,,,,,,1.12 (1.90%),,,
ABTX,Allegiance Banc CS,0,0,0,1,0,0,0,0,0,,,,39.30,38.75 - 39.55,519.351M,"Oct 23, 2017",31.20 - 40.53,"17,824",26.11,,43.75,1.51,N/A (N/A),,38.80,"32,084"
AC,Associated Capital Group Inc,0,0,0,1,0,0,0,0,0,,,,35.75,35.90 - 36.60,854.443M,"Feb 6, 2018",32.20 - 39.35,"11,899",,,,-0.14,0.20 (0.57%),2017-12-26,35.90,"14,076"
ACAD,Acadia Pharmaceutica,0,0,1,0,0,0,0,0,0,Healthcare,425,Biotechnology,27.90,27.60 - 28.44,3.524B,"Feb 26, 2018",25.06 - 41.20,"1,694,999",,4.29,49.78,-2.45,N/A (N/A),,27.80,"1,582,685"
ACBI,Atlantic Capital,0,0,0,1,0,0,0,0,0,,,,18.00,17.95 - 18.15,464.394M,"Jan 25, 2018",15.20 - 20.20,"60,658",35.25,,19.63,0.51,N/A (N/A),,18.10,"97,269"
ACC,American Campus Communities Inc,0,0,1,0,0,0,1,0,0,Financial,"3,170",REIT - Residential,39.21,38.77 - 39.61,5.331B,"Feb 20, 2018",38.77 - 51.70,"1,375,830",97.86,0.29,45.27,0.4,1.76 (4.48%),2017-11-10,39.51,"891,122"
ACCO,Acco Brands Corp,0,0,0,1,0,0,0,0,0,Consumer Goods,"5,040",Office Supplies,12.65,12.60 - 13.05,1.364B,"Feb 20, 2018",10.35 - 14.75,"378,872",22.34,1.56,16.00,0.57,0.00 (0.00%),1999-08-18,12.70,"502,441"
ACET,Aceto Cp,0,0,0,1,0,0,0,1,0,Basic Materials,286,Chemicals - Major Diversified,11.45,11.22 - 11.54,341.139M,"Jan 31, 2018",8.29 - 21.06,"253,092",52.70,1.19,11.33,0.22,0.26 (2.41%),2017-12-15,11.47,"358,076"
ACGL,Arch Capital Grp Ltd,0,0,1,0,0,0,0,0,0,Financial,"3,250",Property & Casualty Insurance,88.87,88.92 - 90.78,11.869B,"Feb 12, 2018",86.46 - 102.60,"716,838",28.94,0.41,103.67,3.13,N/A (N/A),,89.18,"520,019"
ACHC,Acadia Healthcr Co,0,0,1,0,0,0,1,0,0,Healthcare,"26,900",Specialized Health Services,34.38,34.35 - 34.80,3.042B,"Feb 21, 2018",26.92 - 54.34,"871,402",17.52,0.71,40.75,1.98,N/A (N/A),,34.43,"1,718,239"
ACHN,Achillion Pharmaceut,0,0,0,1,0,0,0,0,0,Healthcare,81,Biotechnology,2.99,2.89 - 3.04,412.195M,"Nov 1, 2017",2.69 - 5.66,"1,467,546",,0.71,5.79,-0.49,N/A (N/A),,3.00,"2,438,574"
ACIA,Acacia Communica,0,0,0,1,0,0,0,0,0,,,,39.73,39.33 - 40.57,1.563B,"Feb 21, 2018",35.36 - 69.57,"280,114",14.77,,48.00,2.69,N/A (N/A),,40.05,"435,438"
ACIW,Aci Worldwide Inc,0,0,0,1,0,0,1,0,0,Technology,"4,111",Technical & System Software,23.50,22.14 - 23.70,2.775B,"Feb 28, 2018",18.63 - 25.00,"505,577",71.56,1.47,26.00,0.33,N/A (N/A),,23.58,"489,385"
ACLS,Axcelis Tech Inc,0,0,0,1,0,0,0,1,0,Technology,814,Semiconductor Equipment & Materials,29.40,29.08 - 29.80,915.695M,"Jan 30, 2018",14.60 - 37.05,"227,834",24.15,1.06,35.20,1.21,N/A (N/A),,29.50,"732,050"
ACM,Aecom Technology Corp,0,0,1,0,0,0,1,0,0,Services,"87,000",Technical Services,38.94,38.76 - 39.28,6.158B,"Feb 5, 2018",30.15 - 39.50,"625,316",18.34,1.86,40.27,2.13,N/A (N/A),,38.93,"893,301"
ACN,Accenture Plc,0,0,1,0,1,1,0,0,0,Technology,"435,000",Information Technology Services,159.11,158.57 - 160.63,98.735B,"Mar 21, 2018",112.31 - 160.63,"2,048,945",28.38,1.14,163.15,5.64,2.66 (1.67%),2017-10-18,159.50,"1,877,426"
ACNB,Acnb Corp,0,0,0,1,0,0,0,0,0,Financial,303,Regional - Southwest  Banks,29.80,29.71 - 29.90,209.887M,"Mar 12, 2018",24.45 - 32.50,"3,950",19.14,0.45,,1.56,0.80 (2.70%),2017-11-30,29.71,"8,530"
ACOR,Acorda Therapeutics,0,0,0,1,0,0,0,1,0,Healthcare,597,Biotechnology,25.60,25.45 - 26.30,1.208B,"Feb 12, 2018",13.60 - 33.00,"374,748",,1.4,21.40,-1.21,N/A (N/A),,25.60,"786,746"
ACRE,Ares Commercial Real Estate Cor,0,0,0,1,0,0,0,0,0,,,,12.93,12.87 - 12.96,368.18M,"Mar 5, 2018",12.48 - 14.22,"120,900",11.41,0.65,13.85,1.13,1.08 (8.49%),2017-12-28,12.95,"110,395"
ACRS,Aclaris Therapts,0,0,0,1,0,0,0,0,0,,,,25.51,24.87 - 26.25,770.868M,"Nov 1, 2017",21.32 - 33.25,"374,853",,,45.33,-2.17,N/A (N/A),,25.54,"344,030"
ACTA,Actua Corp,0,0,0,1,0,0,0,0,0,Technology,729,Application Software,15.85,15.75 - 15.85,476.25M,"May 4, 2017",11.85 - 16.05,"61,002",6.11,1.91,17.00,2.59,N/A (N/A),,15.85,"143,093"
ACTG,Acacia Res-Acacia,0,0,0,1,0,0,0,0,0,Services,27,Business Services,3.80,3.70 - 3.85,189.768M,"Mar 7, 2018",2.90 - 6.40,"808,861",1.56,1.31,5.50,2.4,0.00 (0.00%),2015-11-04,3.75,"345,473"
ACXM,Acxiom Cp,0,0,0,1,0,0,1,0,0,Technology,"3,260",Information Technology Services,28.09,28.05 - 28.48,2.23B,"Jan 29, 2018",21.80 - 30.40,"222,611",,0.97,32.25,-0.15,0.00 (0.00%),2008-08-19,28.16,"437,550"
ADBE,Adobe Systems Inc,0,1,1,0,0,1,0,0,0,,,,188.92,188.99 - 195.50,96.149B,"Mar 15, 2018",107.06 - 195.50,"4,246,044",57.71,0.96,198.87,3.38,0.00 (0.00%),2005-03-24,189.09,"2,863,919"
ADC,Agree Realty Corp,0,0,0,1,0,0,0,1,0,Financial,24,Property Management,49.58,48.92 - 49.60,1.35B,"Feb 21, 2018",44.28 - 53.65,"150,733",23.96,0.14,54.33,2.04,2.08 (4.18%),2017-12-19,49.56,"222,577"
ADES,Advanced Emissions Solutions Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,25,Pollution & Treatment Controls,8.68,8.68 - 8.86,186.431M,"May 11, 2017",7.65 - 12.25,"72,960",2.01,2.83,18.00,4.39,1.00 (11.17%),2017-11-16,8.71,"146,505"
ADI,Analog Devices,0,1,1,0,0,1,0,0,0,Technology,"15,300",Semiconductor - Integrated Circuits,91.19,90.57 - 92.59,33.922B,"Feb 13, 2018",71.85 - 93.99,"3,175,716",44.45,1.28,97.92,2.07,1.80 (2.00%),2017-11-30,91.06,"2,469,715"
ADM,Archer Daniels Midland Company,0,0,1,0,0,1,0,0,0,Consumer Goods,"31,800",Farm Products,40.56,40.21 - 40.69,22.65B,"Feb 5, 2018",38.59 - 47.44,"2,810,892",18.96,1.04,40.87,2.14,1.28 (3.21%),2017-11-15,40.56,"3,188,725"
ADMS,Adamas Pharma,0,0,0,1,0,0,0,0,0,Healthcare,84,Drugs - Generic,35.61,34.90 - 36.16,810.473M,"Nov 1, 2017",13.50 - 38.22,"424,802",,1.16,59.29,-3.37,N/A (N/A),,35.52,"1,040,212"
ADNT,Adient Plc,0,0,1,0,0,0,0,0,0,Basic Materials,"85,000",Industrial Metals & Minerals,83.59,82.29 - 84.08,7.698B,,59.10 - 86.42,"791,506",8.85,,84.36,9.34,1.10 (1.35%),2018-01-17,83.61,"710,938"
ADP,Automatic Data Procs,0,1,1,0,0,1,0,0,0,Technology,"58,000",Business Software & Services,117.18,117.34 - 118.93,52.54B,"Jan 31, 2018",94.11 - 121.77,"1,644,451",30.05,0.84,116.15,3.94,2.52 (2.14%),2017-12-07,117.81,"1,981,806"
ADRO,Aduro Biotech,0,0,0,1,0,0,0,0,0,Healthcare,143,Biotechnology,7.20,7.10 - 7.36,552.721M,"Aug 3, 2017",6.01 - 14.05,"329,207",,,15.10,-1.35,N/A (N/A),,7.20,"502,969"
ADS,Alliance Data Systems Corp,0,0,1,0,0,1,0,0,0,Services,"17,000",Business Services,273.62,273.57 - 278.33,15.269B,"Jan 25, 2018",209.00 - 278.33,"429,874",29.59,1.57,282.99,9.34,2.08 (0.76%),2017-11-13,274.79,"516,947"
ADSK,Autodesk Inc,0,1,1,0,0,1,0,0,0,Technology,"9,000",Technical & System Software,113.26,113.07 - 116.09,25.531B,"Feb 28, 2018",78.29 - 131.10,"2,553,043",,2.32,132.14,-2.58,0.00 (0.00%),2005-03-22,113.57,"2,219,000"
ADSW,Advanced Disposal Services Inc,0,0,0,1,0,0,0,0,0,,,,24.08,23.85 - 24.36,2.139B,"Feb 21, 2018",20.94 - 25.71,"865,334",,,27.63,-0.27,N/A (N/A),,24.12,"417,361"
ADTN,Adtran Inc,0,0,0,1,0,0,0,1,0,Technology,"2,033",Communication Equipment,19.70,19.55 - 19.95,948.547M,"Jan 16, 2018",18.65 - 25.10,"348,986",22.39,0.68,22.08,0.88,0.36 (1.84%),2017-10-31,19.60,"382,873"
ADUS,Addus Homecare Corpo,0,0,0,1,0,0,0,0,0,Healthcare,"2,449",Home Health Care,37.65,36.40 - 37.85,424.368M,"Mar 5, 2018",29.90 - 40.75,"26,230",24.05,-0.76,43.25,1.53,N/A (N/A),,37.70,"27,373"
ADXS,Advaxis Inc,0,0,0,1,0,0,0,0,0,Healthcare,90,Biotechnology,2.93,2.91 - 3.02,122.26M,"Mar 8, 2018",2.71 - 10.06,"610,988",,2.18,21.50,-2.31,N/A (N/A),,2.95,"778,230"
AE,Adams Resources & Energy,0,0,0,1,0,0,0,0,0,Basic Materials,645,Oil & Gas Refining & Marketing,47.00,46.61 - 47.56,199.492M,"Mar 13, 2018",32.80 - 50.59,"4,341",,1.29,27.28,-1.03,0.88 (1.90%),2017-12-04,46.61,"4,980"
AEE,Ameren Corp,0,0,1,0,0,1,0,0,0,Utilities,"8,629",Electric Utilities,56.15,55.42 - 56.19,13.471B,"Feb 14, 2018",51.35 - 64.89,"1,385,138",22.10,0.19,59.71,2.51,1.83 (3.19%),2017-12-12,55.96,"1,299,173"
AEGN,Aegion Corp,0,0,0,1,0,0,0,1,0,Industrial Goods,"5,239",Heavy Construction,26.21,25.96 - 26.43,856.756M,"Feb 26, 2018",19.11 - 28.19,"83,886",,2.24,26.14,-1.15,N/A (N/A),,26.21,"184,438"
AEIS,Advanced Energy,0,0,0,1,0,0,0,1,0,Technology,"1,558",Diversified Electronics,70.61,70.34 - 72.05,2.825B,"Jan 29, 2018",55.76 - 95.00,"459,138",13.51,1.14,89.50,5.27,N/A (N/A),,70.96,"463,530"
AEL,American Equity Investment Life,0,0,0,1,0,0,0,1,0,Financial,530,Life Insurance,34.37,33.69 - 34.46,3.027B,"Feb 6, 2018",22.23 - 34.46,"525,584",11.89,2.78,34.20,2.86,0.26 (0.79%),2017-11-28,34.43,"657,230"
AEO,American Eagle Outfitters,0,0,0,1,0,0,1,0,0,Services,"6,600",Apparel Stores,18.18,18.20 - 18.48,3.252B,"Feb 28, 2018",10.23 - 19.48,"3,500,129",20.11,0.78,18.35,0.91,0.50 (2.86%),2017-12-14,18.27,"4,566,123"
AEP,American Electric Power Company,1,0,1,0,0,1,0,0,0,Utilities,"17,634",Electric Utilities,68.73,67.23 - 68.50,33.183B,"Jan 25, 2018",62.14 - 78.07,"6,646,960",17.61,0.02,75.40,3.83,2.48 (3.57%),2017-11-09,68.47,"2,310,071"
AERI,Aerie Pharmaceutical,0,0,0,1,0,0,0,0,0,Healthcare,95,Drug Manufacturers - Major,58.80,57.72 - 59.20,2.151B,,38.14 - 66.60,"211,758",,0.57,80.00,-3.35,N/A (N/A),,58.80,"401,293"
AES,The Aes Corp,1,0,1,0,0,1,0,0,0,Utilities,"19,000",Electric Utilities,10.96,10.90 - 11.14,7.291B,"Feb 26, 2018",10.00 - 12.06,"8,527,359",,1.42,12.88,-1.17,0.52 (4.82%),2018-01-31,10.97,"6,157,652"
AET,Aetna Inc,0,0,1,0,0,1,0,0,0,Healthcare,"49,500",Health Care Plans,184.21,183.71 - 185.17,60.081B,"Jan 29, 2018",116.04 - 192.37,"2,414,419",34.99,0.53,198.76,5.26,2.00 (1.09%),2018-01-10,184.30,"3,341,433"
AFAM,Almost Family Inc,0,0,0,1,0,0,0,1,0,Healthcare,"15,500",Home Health Care,58.65,57.75 - 59.05,808.741M,"May 2, 2017",40.15 - 66.15,"50,201",48.74,0.34,62.67,1.19,0.00 (0.00%),2012-12-18,58.55,"210,049"
AFG,American Financial Group,0,0,1,0,0,0,1,0,0,Financial,"7,600",Property & Casualty Insurance,108.34,107.88 - 109.34,9.618B,"Jan 30, 2018",85.57 - 109.43,"259,259",14.08,0.72,113.50,7.76,1.40 (1.30%),2017-11-16,108.60,"334,252"
AFH,Atlas Fincl Hld Ord,0,0,0,1,0,0,0,0,0,Financial,230,Property & Casualty Insurance,20.55,20.40 - 20.65,247.231M,"Aug 3, 2017",12.15 - 21.45,"20,632",154.51,0.34,23.63,0.13,N/A (N/A),,20.60,"32,933"
AFI,Armstrong Flooring Inc,0,0,0,1,0,0,0,0,0,,,,16.68,16.51 - 16.91,430.897M,"Mar 5, 2018",13.32 - 22.96,"65,530",,,16.00,-0.99,N/A (N/A),,16.66,"140,436"
AFL,Aflac Incorporated,0,0,1,0,0,1,0,0,0,Financial,"10,212",Accident & Health Insurance,91.69,83.70 - 91.00,33.394B,"Jan 31, 2018",66.50 - 91.73,"13,794,624",12.34,1.05,88.31,6.89,1.80 (2.00%),2017-11-14,91.00,"1,536,768"
AFSI,Amtrust Financial,0,0,0,1,0,0,0,0,0,Financial,"8,000",Property & Casualty Insurance,12.55,12.35 - 13.06,2.55B,"Feb 26, 2018",8.80 - 27.93,"3,395,381",,0.76,13.25,-0.42,0.68 (5.36%),2017-12-29,12.50,"1,655,833"
AGCO,Agco Corp,0,0,1,0,0,0,1,0,0,Industrial Goods,"19,795",Farm & Construction Machinery,73.12,73.21 - 74.85,5.895B,"Feb 7, 2018",58.00 - 75.95,"837,896",29.23,0.68,74.56,2.54,0.56 (0.78%),2017-11-14,73.54,"721,695"
AGEN,Agenus Inc,0,0,0,1,0,0,0,0,0,Healthcare,255,Biotechnology,3.88,3.83 - 3.91,387.708M,"Jul 28, 2017",3.20 - 5.45,"578,934",,3.02,11.00,-1.18,N/A (N/A),,3.88,"1,519,558"
AGFS,Agrofresh Solutions,0,0,0,1,0,0,0,0,0,Conglomerates,191,Conglomerates,7.77,7.77 - 8.04,398.672M,"Nov 7, 2017",2.55 - 9.05,"162,438",,1.02,7.50,-1.38,N/A (N/A),,7.79,"134,146"
AGII,Argo Group Intl Hlds,0,0,0,1,0,0,0,0,0,Financial,"1,306",Property & Casualty Insurance,61.20,60.70 - 61.60,1.821B,"Feb 21, 2018",56.15 - 69.03,"101,081",34.94,0.6,74.00,1.76,1.08 (1.80%),2017-11-30,61.25,"155,360"
AGIO,Agios Pharmaceutical,0,0,1,0,0,0,0,0,0,Healthcare,287,Biotechnology,72.54,71.73 - 76.02,3.662B,"Feb 14, 2018",39.24 - 76.02,"671,149",,2.0,77.67,-6.3,N/A (N/A),,72.30,"393,384"
AGM,Federal Agricultural Mortgage Corp,0,0,0,1,0,0,0,0,0,Financial,81,Credit Services,79.68,78.94 - 81.12,856.04M,"Mar 9, 2018",53.78 - 81.12,"68,041",10.90,1.66,83.00,7.43,1.44 (1.84%),2017-12-14,79.60,"46,430"
AGN,Allergan Plc,0,0,1,0,1,1,0,0,0,Healthcare,"16,700",Drugs - Generic,177.12,175.79 - 180.55,58.551B,"Feb 6, 2018",160.07 - 256.80,"2,802,192",,1.09,222.81,-22.13,2.80 (1.59%),2017-11-16,177.62,"3,759,712"
AGNC,American Capital Age,0,0,1,0,0,0,0,0,0,Financial,54,REIT - Residential,19.76,19.47 - 19.85,7.665B,"Jan 30, 2018",18.41 - 22.34,"4,257,793",4.91,0.07,20.13,3.99,2.16 (10.99%),2017-12-28,19.78,"4,499,134"
AGO,Assured Guaranty Ltd,0,0,1,0,0,0,0,0,0,Financial,300,Surety & Title Insurance,33.62,33.60 - 34.23,3.996B,"Feb 21, 2018",32.97 - 45.73,"1,127,740",4.89,1.07,49.75,6.96,0.57 (1.68%),2017-11-14,33.60,"988,366"
AGR,Avangrid Inc,0,0,1,0,0,0,0,0,0,,,,48.82,48.41 - 48.84,14.993B,"Feb 19, 2018",37.42 - 53.46,"466,681",22.58,,52.22,2.15,1.73 (3.60%),2017-12-08,48.70,"461,333"
AGX,Argan Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,"1,286",Heavy Construction,46.35,45.50 - 46.75,711.353M,"Dec 4, 2017",41.79 - 76.70,"215,132",8.51,0.78,54.67,5.37,1.00 (2.22%),2017-10-19,46.50,"258,003"
AGYS,Agilysys Inc,0,0,0,1,0,0,0,1,0,Technology,596,Application Software,12.39,12.39 - 12.74,292.414M,"Nov 7, 2017",8.60 - 12.98,"33,946",,-0.11,15.00,-0.58,0.00 (0.00%),2009-07-16,12.40,"62,350"
AHH,Armada Hoffler Properties Inc,0,0,0,1,0,0,0,1,0,Financial,151,REIT - Diversified,14.53,14.35 - 14.57,902.18M,"Feb 6, 2018",12.66 - 16.01,"312,419",28.57,0.59,15.17,0.5,0.76 (5.29%),2017-12-26,14.54,"339,065"
AHL,Aspen Insurance Holdings,0,0,1,0,0,0,1,0,0,Financial,"1,602",Property & Casualty Insurance,39.05,38.35 - 39.30,2.299B,"Feb 7, 2018",35.05 - 57.80,"464,264",,0.56,44.25,-3.4,0.96 (2.48%),2017-11-09,39.00,"549,580"
AHP,Ashford Hospitality Prime Inc,0,0,0,1,0,0,0,0,0,,,,9.75,9.61 - 9.87,360.636M,"Feb 28, 2018",8.74 - 14.87,"179,898",,1.12,12.17,-0.29,0.64 (6.62%),2017-12-28,9.76,"243,544"
AHT,Ashford Hospitality Trust Inc,0,0,0,1,0,0,0,0,0,,,,6.76,6.69 - 6.84,794.21M,"Mar 1, 2018",5.68 - 8.23,"405,503",,1.81,7.21,-1.41,0.48 (7.31%),2017-12-28,6.77,"481,428"
AI,Arlington Asset Investment Corp,0,0,0,1,0,0,0,0,0,Financial,11,Mortgage Investment,11.80,11.80 - 11.93,335.156M,"Feb 5, 2018",10.93 - 15.51,"307,631",,0.9,13.29,-1.29,2.20 (18.85%),2017-12-28,11.81,"451,790"
AIG,American International Group,0,0,1,0,1,1,0,0,0,Financial,"56,400",Property & Casualty Insurance,61.15,60.79 - 61.22,54.81B,"Feb 8, 2018",57.85 - 67.45,"6,240,145",,1.28,67.44,-2.58,1.28 (2.10%),2017-12-07,60.95,"5,083,633"
AIMC,Altra Indtl Mtn,0,0,0,1,0,0,0,0,0,Industrial Goods,"4,564",Industrial Electrical Equipment,51.20,51.05 - 51.75,1.509B,"Feb 14, 2018",35.20 - 51.75,"77,679",36.00,1.56,55.25,1.43,0.68 (1.35%),2017-12-15,51.30,"131,734"
AIMT,Aimmune Therap,0,0,0,1,0,0,0,0,0,Healthcare,122,Biotechnology,38.65,38.32 - 40.00,2.006B,"Nov 13, 2017",15.97 - 40.00,"370,464",,,55.50,-2.35,N/A (N/A),,38.66,"569,446"
AIN,Albany International Corp,0,0,0,1,0,0,0,1,0,Industrial Goods,"4,400",Textile Industrial,63.30,63.05 - 63.45,2.036B,"Feb 6, 2018",43.45 - 65.65,"72,265",47.31,1.94,62.00,1.34,0.68 (1.10%),2017-12-22,63.30,"105,019"
AIR,AAR Corp,0,0,0,1,0,0,0,1,0,,,,38.91,40.35 - 42.76,1.424B,"Mar 19, 2018",31.23 - 44.04,"394,112",63.52,1.52,44.50,0.66,0.30 (0.78%),2017-10-20,41.36,"227,622"
AIT,Applied Industrial Technologies,0,0,0,1,0,0,0,1,0,Services,"5,529",Industrial Equipment Wholesale,71.00,69.82 - 71.00,2.725B,"Jan 24, 2018",54.00 - 71.60,"248,228",19.72,0.99,72.50,3.56,1.16 (1.67%),2017-11-14,70.85,"213,542"
AIV,Apartment Investment and Management,0,0,1,0,0,1,0,0,0,Financial,"1,456",REIT - Residential,40.95,40.38 - 41.03,6.68B,"Feb 1, 2018",40.38 - 46.86,"862,134",30.80,0.61,47.29,1.32,1.44 (3.43%),2017-11-16,40.84,"921,550"
AIZ,Assurant Inc,0,0,1,0,0,1,0,0,0,Financial,"14,700",Accident & Health Insurance,95.79,94.61 - 96.65,5.133B,"Feb 5, 2018",86.00 - 106.99,"430,933",22.48,0.57,112.00,4.24,2.24 (2.32%),2017-11-24,96.32,"443,963"
AJG,Arthur J. Gallagher & Co,0,0,1,0,0,1,0,0,0,Financial,"24,790",Insurance Brokers,63.40,62.96 - 63.96,11.549B,"Jan 24, 2018",52.14 - 67.32,"836,464",25.53,1.3,69.08,2.5,1.56 (2.45%),2017-11-30,63.68,"1,066,582"
